,when,timestamp,tweet,length,time_s
71,2017-01-01 16:21:45,1483284105,"zasadniczo np. Wiktoriê z Ba³ut  zabi³ konkubent i matka, rozumiem, ¿e ""te œrodowiska"" wydalicie te¿ #lolprawica",112,55305
72,2017-01-01 16:19:11,1483283951,po chuj mnie matka ciagnie do tego kosciola ja pierdole,55,55151
73,2017-01-01 16:12:52,1483283572,twoja matka? *zasmialemnsie unoaszc brwi* nacpala sie czy co?,61,54772
74,2017-01-01 16:12:06,1483283526,Mam nadzieje ze matka pozwoli mi zostaæ jutro w domu,52,54726
75,2017-01-01 15:22:17,1483280537,"matka dopiero wstala a juz drze ryja, ze milena nie przeczyta³a lektury w wolne ja jebie, a ty pracowa³aœ? to czemu ona mia³a czytaæ ksi¹¿kê",140,51737
76,2017-01-01 15:05:11,1483279511,"kurwa moja matka ""tobie nie by³o smutno samemu?"" ""a co mia³em zrobiæ"" ""mog³eœ sobie coœ zorganizowaæ"" XDDDD pls",111,50711
77,2017-01-01 14:45:47,1483278347,"ja wale jakies 9 latki puszczaja petardy przed moim blokiem, czekam tylko az matka któregoœ z nich przyjdzie",108,49547
78,2017-01-01 14:30:58,1483277458,"Krwawa Wigilia 1944: ,,By³a tam babcia, matka, trzy córki. Teraz pali³y siê ¿ywcem. Tego wo³ania Boga i ludzi o pomoc opisaæ nie potrafiê…”",139,48658
79,2017-01-01 14:20:29,1483276829,"#PalabraDelDía #Päivänsana

(FI) = (EN) = (SP)
tuoli = chair = silla
matka = to travel = viajar",95,48029
80,2017-01-01 14:04:56,1483275896,moja matka jeszcze chyba nie wytrzezwiala po sylwestrze:-),58,47096
81,2017-01-01 13:58:53,1483275533,@BronsonMMA zycze ci zeby twoja matka w koncu wyjebala ciebie z chaty i zebys poznal co to jest zycie dziwko jurasa,115,46733
82,2017-01-01 13:54:13,1483275253,"sama by³am pijana ale oczywiœcie by³am matka wszystkich najebanych bardziej ode mnie, typowe",92,46453
83,2017-01-01 13:45:55,1483274755,w modlitwie aby matka nie zobaczy³a malinki,43,45955
84,2017-01-01 13:25:38,1483273538,Ale ta matka jest tepa boze,27,44738
85,2017-01-01 13:11:18,1483272678,pocz¹tek roku a matka ju¿ siê przypierdalaXDDDDD,48,43878
86,2017-01-01 12:49:05,1483271345,podsumowuj¹c dzieci same siê wychowuj¹ a matka ma na piwo. Albo s¹ te¿ sytuacje ¿e starzy maj¹ full kasy i jeszcze dostaj¹ co,125,42545
87,2017-01-01 12:47:34,1483271254,matka jakies dobre buraczki zrobila do obiadu..szacun,53,42454
88,2017-01-01 12:36:37,1483270597,Jutro moja matka powiedzia³a ze zaplaci mu za psy i wygarnie,60,41797
89,2017-01-01 12:33:26,1483270406,kirwa jeszcze matka gada a gowno widziala,41,41606
90,2017-01-01 12:29:54,1483270194,"""jego to nawet jego matka nie kocha, szkoda mi go w sumie"" XDXDXD",65,41394
91,2017-01-01 12:29:46,1483270186,"Stajê w drzwiach salonu, a matka do mnie ""CO TAM GEOŒWIRZE?""
",61,41386
92,2017-01-01 12:27:59,1483270079,"Dlaczego matka mnie ignoruje 
Ja nic nie zrobi³am 
Dopiero wsta³am 
I to niby ja jestem dziecinna",97,41279
93,2017-01-01 12:22:43,1483269763,@luvmyluki moja ma³a kamilka bierze sie za ch³opakow czuje siê jak dumna matka ,79,40963
94,2017-01-01 11:46:03,1483267563,"Nie,ale to prawda ¿e matka Svena Hannawalda dawa³a dupy za Biedronk¹",68,38763
95,2017-01-01 11:35:31,1483266931,Matka i telewizor... http://coonakombinuje.pl/matka-i-telewizor/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost …,136,38131
96,2017-01-01 10:54:16,1483264456,moja matka siedzi z ty³u!,25,35656
